,  1418069992,  1371816629,  0,
,  1418078547,  1372931621,  0,
,  1418760274,  1374274488,  0,
,  193085482,  188441940,  0,
,  191895029,  191864842,  0,
,  191618336,  191614088,  0,
,  79068086,  79154630,  0,
,  79275932,  78986807,  0,
,  79259000,  78913374,  0,
,  58974648,  59191614,  0,
,  59433525,  59286331,  0,
,  58898591,  59407355,  0,
,  44602562,  44155067,  0,
,  44324584,  44013254,  0,
,  44480612,  44230012,  0,
,  42946791,  34137938,  0,
,  42990915,  34300690,  0,
,  43054307,  34242028,  0,
