494185, 464, 32877258, 200407695, 22366567, 66026322, 105284534, 5116352, 5384384, 0, 13962, 437971723,
429382, 118, 33028328, 204142477, 22511235, 66299310, 104781854, 5359381, 5540032, 0, 18153, 442110270,
441254, 243, 33155297, 204933311, 22423477, 66474985, 105494871, 5371880, 5692445, 0, 18171, 444005934,
750658, 244, 25265828, 102738912, 17445529, 70481950, 94641875, 2864086, 2774590, 0, 6116, 316969788,
767894, 214, 27047168, 102585160, 17429731, 70377102, 94629097, 2625505, 2736280, 0, 6361, 318204512,
772223, 244, 26120192, 101962221, 17384744, 70508207, 94585116, 2880026, 2910923, 0, 6368, 317130264,
1480422, 728, 21721850, 51306668, 17963222, 73464146, 88486024, 2225702, 1677609, 0, 2897, 258329268,
1432923, 711, 22735513, 51164834, 18117153, 73486108, 88782376, 2219707, 1791073, 0, 2890, 259733288,
1600383, 672, 23741651, 52286341, 18075840, 73209542, 88536080, 2250697, 1789075, 0, 2786, 261493067,
2715957, 1008, 36655563, 26695861, 20397503, 77145002, 84736262, 2928955, 1730931, 0, 1802, 253008844,
2825212, 1426, 37527579, 26615226, 20421208, 77232776, 86879454, 2977224, 1720624, 0, 1617, 256202346,
2715290, 731, 38071651, 26687129, 20459027, 77467366, 85846030, 3048151, 1771411, 0, 1991, 256068777,
