1024,  55,  11659,  62637,
1024,  9,  652,  19196,
1024,  57,  1140,  21293,
1024,  8,  617,  19380,
1024,  8,  651,  18446,
2048,  12,  1979,  132369,
2048,  35,  2152,  148676,
2048,  12,  2354,  132097,
2048,  11,  2678,  133168,
2048,  11,  2798,  134670,
4096,  239,  22684,  1060565,
4096,  37,  22071,  642264,
4096,  237,  6253,  695419,
4096,  38,  6495,  932764,
4096,  628,  22705,  957316,
8192,  165,  17596,  7758849,
8192,  133,  21858,  7373257,
8192,  59,  15299,  7443100,
8192,  138,  17749,  7684412,
8192,  54,  21230,  4368837,
16384,  68,  74296,  36954006,
16384,  63,  52554,  37120295,
16384,  63,  49002,  37383429,
16384,  62,  79128,  36253296,
16384,  72,  54132,  40276826,
