512,  1335466,  561086,  4575320,  2115263,  3143422,
512,  1372798,  547321,  5041394,  2135017,  3157359,
512,  1280350,  569285,  4298038,  2206870,  3220360,
512,  1297078,  568546,  4995368,  2555984,  3691385,
512,  1422508,  578060,  4997670,  2360312,  3418269,
1024,  5222025,  2112047,  7067763,  4935121,  6961342,
1024,  5430806,  2137701,  8097543,  5124341,  7231397,
1024,  5348010,  2168225,  7511427,  5092034,  7181423,
1024,  5210118,  2186155,  7721881,  4912985,  7015408,
1024,  5291321,  2207405,  7930779,  5093724,  7232187,
2048,  10404003,  9167063,  18885909,  9830872,  14069226,
2048,  9976342,  9229675,  19493783,  9352107,  13549237,
2048,  10193146,  9228948,  18959685,  9496239,  13580004,
2048,  9338357,  9236557,  19664262,  8765405,  12710632,
2048,  9737490,  9266184,  19420349,  8708474,  12674544,
4096,  22132688,  22053454,  44195463,  28507807,  41725132,
4096,  22324348,  22215785,  47145804,  30160926,  43900161,
4096,  23179811,  23406474,  48765757,  31232981,  44867053,
4096,  23292471,  23654449,  49264545,  31341921,  45174972,
4096,  24139767,  23931266,  49861445,  31282144,  45125060,
8192,  54414048,  54013458,  123492279,  70930436,  102107610,
8192,  56198587,  56677112,  126945453,  72064842,  103139022,
8192,  54138120,  54334029,  125637407,  71552999,  102460585,
8192,  54619215,  54839260,  127185788,  71631962,  102362589,
8192,  56702132,  56679684,  129269541,  70656377,  101638997,
