16384, 32, 3051, 1.20491e+06, 522, 7347, 0, 1.4299e+06, 6, 66732, 204298, 777769, 0, 5056, 7630, 15939, 13136, 3.7363e+06,
16384, 64, 3065, 679725, 256, 5008, 0, 716974, 0, 52033, 252820, 432870, 0, 2503, 5421, 12496, 7241, 2.17041e+06,
16384, 96, 3749, 534319, 171, 4212, 0, 478784, 0, 46652, 310230, 328826, 0, 1660, 5061, 13007, 7528, 1.7342e+06,
16384, 128, 3454, 454290, 128, 3793, 0, 359821, 0, 45613, 381962, 273589, 0, 1273, 5439, 12670, 6002, 1.54803e+06,
16384, 160, 3106, 668970, 103, 3633, 0, 288453, 0, 43653, 430297, 360950, 0, 1010, 5645, 13706, 6387, 1.82591e+06,
16384, 192, 3990, 633183, 86, 3544, 0, 240918, 0, 43721, 500605, 314228, 0, 851, 5016, 13458, 5583, 1.76518e+06,
16384, 224, 6290, 621277, 74, 3462, 0, 207486, 0, 43169, 554184, 284994, 0, 733, 4929, 13840, 5811, 1.74625e+06,
16384, 256, 5854, 597897, 64, 3276, 0, 182127, 0, 43780, 629009, 261688, 0, 638, 5148, 13632, 5239, 1.74835e+06,
16384, 288, 5538, 483849, 57, 3359, 0, 162176, 0, 43370, 690508, 315244, 0, 572, 5340, 14532, 5483, 1.73003e+06,
16384, 320, 4713, 476451, 52, 3319, 0, 146728, 0, 43745, 782141, 291337, 0, 522, 5003, 14441, 5039, 1.77349e+06,
16384, 352, 4125, 476579, 47, 3264, 0, 133905, 2, 45360, 878084, 274998, 0, 465, 5008, 14949, 5253, 1.84204e+06,
16384, 384, 3183, 468605, 43, 3246, 0, 122673, 0, 45585, 967706, 259907, 0, 424, 5067, 14548, 4929, 1.89592e+06,
16384, 416, 4705, 394811, 40, 3293, 0, 113576, 0, 45668, 1.07356e+06, 296022, 0, 398, 5203, 15404, 5170, 1.95784e+06,
16384, 448, 3196, 396351, 37, 3281, 0, 105718, 0, 45842, 1.18664e+06, 280417, 0, 370, 4940, 15091, 4854, 2.04674e+06,
16384, 480, 3473, 395831, 35, 3183, 0, 98803, 0, 46291, 1.31703e+06, 269501, 0, 346, 4977, 15625, 4979, 2.16007e+06,
16384, 512, 3278, 399582, 32, 3133, 0, 92823, 0, 45932, 1.43267e+06, 258211, 0, 320, 5045, 15089, 4743, 2.26086e+06,
16384, 640, 3204, 365052, 26, 3160, 0, 74957, 0, 52519, 1.92456e+06, 256389, 0, 237, 5243, 16190, 4207, 2.70574e+06,
16384, 768, 3295, 339432, 22, 3231, 0, 63490, 0, 54247, 2.42703e+06, 255546, 0, 219, 5323, 17308, 4598, 3.17374e+06,
16384, 896, 3251, 324040, 19, 3291, 0, 55095, 0, 55745, 2.947e+06, 255129, 0, 191, 5514, 18630, 4541, 3.67245e+06,
16384, 1024, 3371, 322731, 16, 3343, 0, 49322, 0, 58296, 3.4854e+06, 251965, 0, 164, 5743, 20138, 4465, 4.20496e+06,
16384, 1152, 3335, 306296, 15, 3332, 0, 43464, 0, 59363, 3.9823e+06, 251082, 0, 151, 5977, 21604, 4474, 4.68139e+06,
16384, 1280, 4495, 307061, 13, 3402, 0, 39348, 0, 60821, 4.51248e+06, 248250, 0, 135, 6153, 23013, 4508, 5.20967e+06,
16384, 1408, 3413, 300749, 12, 3379, 0, 36750, 0, 63328, 5.01948e+06, 247850, 0, 125, 6435, 24329, 4448, 5.7103e+06,
16384, 1536, 3508, 301296, 11, 3449, 0, 33507, 0, 63415, 5.54321e+06, 246805, 0, 119, 6813, 25528, 4477, 6.23214e+06,
16384, 1664, 3550, 294091, 10, 3468, 0, 31331, 0, 67103, 6.08104e+06, 244149, 0, 106, 6913, 27270, 4413, 6.76345e+06,
16384, 1792, 3612, 297566, 10, 3466, 0, 28982, 0, 67975, 6.62155e+06, 245367, 0, 104, 7184, 28498, 4469, 7.30878e+06,
16384, 1920, 3671, 296119, 9, 3595, 0, 27752, 0, 68691, 7.09419e+06, 240352, 0, 97, 7455, 30502, 4401, 7.77684e+06,
16384, 2048, 3733, 292636, 8, 3660, 0, 25952, 0, 70054, 7.72637e+06, 240515, 0, 86, 7779, 29947, 4345, 8.40508e+06,
