512,  589481,  593843,  2592007,  3603818,  4669964,
512,  717271,  653581,  2862337,  3386819,  4397378,
512,  691979,  678922,  2930072,  3537197,  4488948,
512,  877424,  867757,  3217040,  3571716,  4616904,
512,  745479,  660882,  2736516,  3339090,  4320542,
1024,  2645718,  2634564,  5314022,  6806610,  8709393,
1024,  2848878,  2800557,  6053992,  6136077,  7992867,
1024,  3419140,  3268956,  6388625,  6459113,  8351733,
1024,  2973515,  2702179,  5543193,  6540417,  8420057,
1024,  3265309,  2893666,  5937741,  6673680,  8586195,
2048,  7397228,  6659403,  13144397,  12523836,  18919456,
2048,  6827062,  7129394,  13626730,  12629522,  19041768,
2048,  7194509,  7132681,  13906102,  12576186,  19004162,
2048,  7268772,  7619330,  13873619,  12440003,  18954320,
2048,  6830544,  7332445,  13815048,  13677350,  20166153,
4096,  16934521,  16882148,  33619028,  34086196,  50800733,
4096,  15673044,  16931276,  35098117,  34015581,  50793389,
4096,  16541921,  17471206,  35133805,  35140688,  52075529,
4096,  15661012,  15767869,  31535149,  34854213,  51676671,
4096,  16987540,  17265970,  33502834,  34204743,  50788741,
8192,  39265653,  39228361,  93630285,  87171631,  162551308,
8192,  36852370,  39134020,  91515728,  86817418,  161339713,
8192,  39726472,  40029221,  95051789,  86299075,  161694164,
8192,  38004153,  38595342,  91143357,  88941080,  163893088,
8192,  42627780,  43479156,  98087223,  89275694,  163915562,
